FeedbackID,UserID,CropID,Rating,Comment,Date
1,101,1,4,"Good yield but soil needs more nutrients","2025-06-12"
2,102,3,5,"Excellent crop, very profitable","2025-06-13"
3,103,5,3,"Average growth, needs more water","2025-06-14"
4,104,8,5,"High oil content, best quality","2025-06-15"
5,105,12,4,"Market price was good this season","2025-06-16"
6,106,16,5,"Mangoes were juicy and big","2025-06-17"
7,107,2,3,"Rice yield lower than expected","2025-06-18"
8,108,7,4,"Green grams grew well with less fertilizer","2025-06-19"
9,109,10,5,"Soybean crop was top-notch","2025-06-20"
10,110,14,4,"Carrots were healthy, but pests affected some","2025-06-21"
11,111,18,5,"Oranges had great color and taste","2025-06-22"
12,112,20,4,"Coffee beans quality was good, minor losses","2025-06-23"
13,113,6,3,"Lentils yield was average, needs better seeds","2025-06-24"
14,114,11,5,"Potatoes grew exceptionally, very marketable","2025-06-25"
15,115,9,4,"Sesame seeds were clean and good quantity","2025-06-26"
16,116,13,5,"Sunflower seeds high quality, very profitable","2025-06-27"
17,117,15,4,"Mustard crop had good oil content, satisfied","2025-06-28"
18,118,17,3,"Jute fibers were coarse, not ideal","2025-06-29"
19,119,19,5,"Sugarcane yield exceeded expectations","2025-06-30"
20,120,21,4,"Cabbages grew healthy, minor pest attack","2025-07-01"
21,121,22,5,"Onions were large and uniform, excellent","2025-07-02"
22,122,23,4,"Tomatoes tasty but needed more water","2025-07-03"
23,123,24,3,"Cabbage leaves small, yield below average","2025-07-04"
24,124,25,5,"Cauliflower quality was superb","2025-07-05"
25,125,26,4,"Spinach grew fast, good nutrition","2025-07-06"
26,126,27,5,"Apples were crisp and sweet","2025-07-07"
27,127,28,4,"Mangoes very tasty but minor pest issues","2025-07-08"
28,128,29,5,"Bananas abundant and high quality","2025-07-09"
29,129,30,3,"Oranges smaller than usual","2025-07-10"
30,130,31,5,"Grapes excellent for market","2025-07-11"
31,131,32,4,"Papaya yield good, minor disease observed","2025-07-12"
32,132,33,5,"Pomegranate crop very profitable","2025-07-13"
33,133,34,4,"Guava quality decent, needs irrigation","2025-07-14"
34,134,35,5,"Litchi juicy and abundant","2025-07-15"
35,135,36,3,"Peas yield average, needed better soil","2025-07-16"
36,136,37,4,"Carrot growth satisfactory","2025-07-17"
37,137,38,5,"Brinjal excellent quality and size","2025-07-18"
38,138,39,4,"Okra harvested well, minor pests","2025-07-19"
39,139,40,5,"Capsicum market-ready and vibrant color","2025-07-20"
40,140,41,4,"Chillies pungent, good yield","2025-07-21"
41,141,42,5,"Cardamom premium quality, highly profitable","2025-07-22"
42,142,43,4,"Cashew nuts good, minor losses in storage","2025-07-23"
43,143,44,5,"Coconut harvest excellent","2025-07-24"
44,144,45,4,"Turmeric quality satisfactory","2025-07-25"
45,145,46,5,"Ginger yield high, very profitable","2025-07-26"
46,146,47,4,"Tinda (Apple Gourd) good, minor pest attack","2025-07-27"
47,147,48,5,"Bottle Gourd high quality and uniform","2025-07-28"
48,148,49,4,"Watermelon juicy but fewer in numbers","2025-07-29"
49,149,50,5,"Pumpkin crop abundant and high quality","2025-07-30"
50,150,1,4,"Wheat yield good, weather was favorable","2025-07-31"
