produce_id,crop_id,farmer_id,quantity_kg,harvest_date,grade
1,1,1,2500,2025-03-15,A
2,2,3,4000,2025-07-10,B
3,3,4,1800,2025-08-05,A
4,7,7,1200,2025-04-20,B
5,8,11,950,2025-09-01,A
6,9,13,500,2025-07-18,A
7,12,14,1500,2025-08-25,C
8,13,16,2200,2025-03-12,B
9,16,18,3000,2025-10-10,A
10,18,19,8000,2025-11-15,A
11,21,8,700,2025-01-20,B
12,22,9,600,2025-02-05,A
13,23,1,1000,2025-07-30,B
14,25,3,750,2025-01-28,A
15,28,7,5000,2025-06-25,A
16,29,5,3500,2025-05-18,B
17,30,14,2000,2025-12-05,A
18,32,16,1200,2025-09-20,B
19,33,18,1500,2025-02-15,A
20,35,11,900,2025-06-05,B
21,36,27,1300,2025-01-25,A
22,37,28,800,2025-02-12,B
23,38,29,950,2025-08-10,A
24,39,31,1100,2025-11-05,B
25,40,32,700,2025-12-01,A
26,41,35,400,2025-09-18,C
27,42,36,300,2025-10-22,B
28,43,37,450,2025-03-14,A
29,44,39,2000,2025-07-27,A
30,45,40,1800,2025-08-09,B
31,46,43,600,2025-07-30,A
32,47,44,950,2025-08-15,B
33,48,45,1250,2025-07-25,A
34,49,47,5000,2025-06-12,A
35,50,48,4200,2025-06-20,B
36,4,49,1700,2025-04-18,B
37,5,50,2500,2025-07-05,A
38,6,27,3000,2025-09-25,B
39,10,28,850,2025-08-15,A
40,11,29,1200,2025-01-22,B
41,14,31,2600,2025-07-08,A
42,15,32,3100,2025-03-10,A
43,17,35,600,2025-08-18,C
44,19,36,450,2025-12-28,A
45,20,37,700,2025-10-10,B
46,24,39,900,2025-01-30,B
47,26,40,500,2025-02-10,A
48,27,43,2200,2025-11-25,A
49,31,44,1800,2025-12-15,B
50,34,45,1400,2025-05-12,A
