TransactionID,BuyerID,SellerID,ProduceID,QuantityKg,PricePerKg,TotalPrice,Status,Date
801,201,101,301,150.00,20.00,3000.00,completed,2025-09-10
802,202,102,302,200.00,25.00,5000.00,completed,2025-09-11
803,203,103,303,100.00,18.00,1800.00,cancelled,2025-09-12
804,204,104,304,250.00,22.00,5500.00,completed,2025-09-12
805,205,105,305,300.00,35.00,10500.00,pending,2025-09-13
806,206,106,306,180.00,28.00,5040.00,completed,2025-09-14
807,207,107,307,120.00,15.00,1800.00,completed,2025-09-15
808,208,108,308,210.00,30.00,6300.00,completed,2025-09-16
809,209,109,309,95.00,40.00,3800.00,cancelled,2025-09-17
810,210,110,310,400.00,12.00,4800.00,completed,2025-09-18
811,211,111,311,350.00,22.00,7700.00,completed,2025-09-19
812,212,112,312,180.00,28.00,5040.00,completed,2025-09-20
813,213,113,313,220.00,18.00,3960.00,pending,2025-09-20
814,214,114,314,160.00,25.00,4000.00,completed,2025-09-21
815,215,115,315,300.00,30.00,9000.00,completed,2025-09-21
816,216,116,316,200.00,35.00,7000.00,completed,2025-09-22
817,217,117,317,150.00,20.00,3000.00,cancelled,2025-09-22
818,218,118,318,180.00,40.00,7200.00,completed,2025-09-23
819,219,119,319,250.00,32.00,8000.00,completed,2025-09-23
820,220,120,320,300.00,28.00,8400.00,pending,2025-09-24
821,201,121,321,100.00,18.00,1800.00,completed,2025-09-24
822,202,122,322,150.00,22.00,3300.00,completed,2025-09-25
823,203,123,323,200.00,25.00,5000.00,completed,2025-09-25
824,204,124,324,180.00,30.00,5400.00,completed,2025-09-26
825,205,125,325,220.00,28.00,6160.00,completed,2025-09-26
826,206,126,326,250.00,32.00,8000.00,cancelled,2025-09-27
827,207,127,327,300.00,20.00,6000.00,completed,2025-09-27
828,208,128,328,150.00,15.00,2250.00,pending,2025-09-28
829,209,129,329,180.00,22.00,3960.00,completed,2025-09-28
830,210,130,330,200.00,25.00,5000.00,completed,2025-09-29
831,211,131,331,120.00,18.00,2160.00,completed,2025-09-29
832,212,132,332,220.00,30.00,6600.00,completed,2025-09-30
833,213,133,333,250.00,35.00,8750.00,completed,2025-09-30
834,214,134,334,180.00,20.00,3600.00,cancelled,2025-10-01
835,215,135,335,200.00,25.00,5000.00,completed,2025-10-01
836,216,136,336,150.00,18.00,2700.00,completed,2025-10-02
837,217,137,337,300.00,28.00,8400.00,completed,2025-10-02
838,218,138,338,250.00,30.00,7500.00,pending,2025-10-03
839,219,139,339,180.00,22.00,3960.00,completed,2025-10-03
840,220,140,340,200.00,20.00,4000.00,completed,2025-10-04
