WeatherID,Location,Date,TemperatureC,HumidityPercent,RainfallMm,WindSpeedKmh
1,Delhi,2025-06-12,34,60,5,12
2,Mumbai,2025-06-12,30,70,12,8
3,Kolkata,2025-06-12,33,75,15,10
4,Bengaluru,2025-06-12,28,65,0,5
5,Chennai,2025-06-12,35,68,2,14
6,Delhi,2025-06-13,36,58,0,15
7,Mumbai,2025-06-13,31,72,10,12
8,Kolkata,2025-06-13,34,78,20,11
9,Bengaluru,2025-06-13,29,64,0,6
10,Chennai,2025-06-13,36,70,5,13
11,Delhi,2025-06-14,35,60,1,10
12,Mumbai,2025-06-14,32,68,8,9
13,Kolkata,2025-06-14,33,74,12,10
14,Bengaluru,2025-06-14,28,66,0,5
15,Chennai,2025-06-14,34,69,3,12
16,Jaipur,2025-06-12,38,50,0,18
17,Hyderabad,2025-06-12,33,62,4,10
18,Bhopal,2025-06-12,32,55,1,12
19,Patna,2025-06-12,34,65,3,11
20,Ahmedabad,2025-06-12,39,48,0,20
21,Jaipur,2025-06-13,40,52,0,19
22,Hyderabad,2025-06-13,34,60,5,12
23,Bhopal,2025-06-13,33,54,0,10
24,Patna,2025-06-13,35,66,2,12
25,Ahmedabad,2025-06-13,38,50,0,21
26,Jaipur,2025-06-14,39,53,0,17
27,Hyderabad,2025-06-14,35,61,3,13
28,Bhopal,2025-06-14,34,56,1,11
29,Patna,2025-06-14,36,64,2,12
30,Ahmedabad,2025-06-14,37,49,0,20
31,Delhi,2025-06-15,35,59,2,14
32,Mumbai,2025-06-15,31,70,10,9
33,Kolkata,2025-06-15,34,77,18,12
34,Bengaluru,2025-06-15,28,65,0,6
35,Chennai,2025-06-15,36,71,4,13
36,Jaipur,2025-06-15,40,51,0,18
37,Hyderabad,2025-06-15,34,63,6,11
38,Bhopal,2025-06-15,33,55,1,12
39,Patna,2025-06-15,35,67,3,13
40,Ahmedabad,2025-06-15,38,50,0,20
41,Delhi,2025-06-16,36,60,0,15
42,Mumbai,2025-06-16,32,71,8,10
43,Kolkata,2025-06-16,33,76,15,11
44,Bengaluru,2025-06-16,29,64,0,6
45,Chennai,2025-06-16,35,69,3,12
46,Jaipur,2025-06-16,39,52,0,18
47,Hyderabad,2025-06-16,35,62,5,12
48,Bhopal,2025-06-16,34,56,2,11
49,Patna,2025-06-16,36,65,3,13
50,Ahmedabad,2025-06-16,38,49,0,20
