NotificationID,UserID,Title,Message,Date,Status
1,101,"Weather Alert","Heavy rainfall expected tomorrow, protect crops","2025-06-12","Unread"
2,102,"Market Update","Wheat prices have increased by 5% today","2025-06-12","Read"
3,103,"Fertilizer Advice","Nitrogen-based fertilizers recommended for lentils","2025-06-13","Unread"
4,104,"Pest Alert","Locusts sighted in nearby areas, take precautions","2025-06-13","Unread"
5,105,"Irrigation Reminder","Watering schedule for tomato crops updated","2025-06-14","Read"
6,106,"Market Update","Mango prices stable, peak harvesting season","2025-06-14","Read"
7,107,"Weather Alert","High temperature expected, irrigate crops early morning","2025-06-15","Unread"
8,108,"Fertilizer Advice","Apply organic compost for green gram crops","2025-06-15","Read"
9,109,"Storage Reminder","Soybeans ready for storage, check moisture levels","2025-06-16","Unread"
10,110,"Market Update","Potato prices dropped by 3%, plan sales accordingly","2025-06-16","Read"
11,111,"Pest Alert","Aphid infestation reported in mustard crops, spray recommended","2025-06-17","Unread"
12,112,"Weather Alert","Thunderstorms expected, protect young plants","2025-06-17","Unread"
13,113,"Market Update","Tomato prices up by 10% in local market","2025-06-18","Read"
14,114,"Fertilizer Advice","Apply potassium-rich fertilizers to improve fruit quality","2025-06-18","Unread"
15,115,"Irrigation Reminder","Irrigation schedule adjusted for sugarcane fields","2025-06-19","Read"
16,116,"Weather Alert","Heatwave alert, ensure adequate water supply for crops","2025-06-19","Unread"
17,117,"Storage Reminder","Check moisture in stored grains, humidity levels high","2025-06-20","Unread"
18,118,"Market Update","Banana prices stable, maintain regular sales","2025-06-20","Read"
19,119,"Pest Alert","Whitefly spotted in cotton fields, take preventive measures","2025-06-21","Unread"
20,120,"Fertilizer Advice","Apply organic compost to vegetable crops","2025-06-21","Read"
21,121,"Irrigation Reminder","Adjust drip irrigation for tomato and chili crops","2025-06-22","Unread"
22,122,"Weather Alert","Heavy rain expected in coastal areas, monitor crops","2025-06-22","Unread"
23,123,"Market Update","Potato and onion prices rising, plan storage accordingly","2025-06-23","Read"
24,124,"Pest Alert","Termites detected in wheat fields, apply treatment","2025-06-23","Unread"
25,125,"Storage Reminder","Fruits ready for cold storage, check temperature settings","2025-06-24","Read"
26,126,"Weather Alert","Frost expected in northern regions, protect sensitive crops","2025-06-24","Unread"
27,127,"Fertilizer Advice","Apply balanced NPK fertilizer to cereal crops","2025-06-25","Read"
28,128,"Market Update","Sugarcane prices stable, monitor market trends","2025-06-25","Read"
29,129,"Pest Alert","Mealybugs reported in grape vineyards, take action","2025-06-26","Unread"
30,130,"Irrigation Reminder","Schedule irrigation for pulses and legumes","2025-06-26","Read"
31,131,"Weather Alert","High winds expected, support young plants","2025-06-27","Unread"
32,132,"Storage Reminder","Check silos for humidity and temperature control","2025-06-27","Read"
33,133,"Market Update","Maize prices up by 7%, consider selling","2025-06-28","Read"
34,134,"Fertilizer Advice","Use phosphorus-rich fertilizers for root development","2025-06-28","Unread"
35,135,"Pest Alert","Fruit fly infestation reported in mango orchards","2025-06-29","Unread"
36,136,"Irrigation Reminder","Drip irrigation for sugarcane adjusted","2025-06-29","Read"
37,137,"Weather Alert","Heatwave alert, increase irrigation frequency","2025-06-30","Unread"
38,138,"Market Update","Onion prices falling, consider storage options","2025-06-30","Read"
39,139,"Storage Reminder","Check storage for pests and humidity","2025-07-01","Unread"
40,140,"Pest Alert","Spider mites detected in vegetable crops, spray advised","2025-07-01","Unread"
41,141,"Fertilizer Advice","Apply calcium supplements to prevent blossom-end rot in tomatoes","2025-07-02","Read"
42,142,"Weather Alert","Heavy rainfall expected, protect soil erosion","2025-07-02","Unread"
43,143,"Market Update","Rice prices rising in local markets","2025-07-03","Read"
44,144,"Irrigation Reminder","Ensure adequate water supply for pulse crops","2025-07-03","Unread"
45,145,"Storage Reminder","Fruits harvested, move to cold storage","2025-07-04","Read"
46,146,"Pest Alert","Rodents spotted in storage areas, take preventive measures","2025-07-04","Unread"
47,147,"Weather Alert","Frost expected in mountainous regions, protect crops","2025-07-05","Unread"
48,148,"Fertilizer Advice","Apply micronutrients for leafy vegetables","2025-07-05","Read"
49,149,"Market Update","Banana prices stable, monitor sales","2025-07-06","Read"
50,150,"Irrigation Reminder","Adjust irrigation timing for hot weather","2025-07-06","Unread"
